White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"So, W","Vachier Lagrave, M",½-½,1.33,"Dec 30, 2020","A30 English, symmetrical variation",,,,,,
"Nepomniachtchi, I","Radjabov, T",½-½,1.33,"Dec 30, 2020","E91 King's Indian, 6.Be2",,,,,,
"Radjabov, T","Dubov, D",½-½,2.11,"Dec 31, 2020",D43 Queen's Gambit Declined semi-Slav,,,,,,
"Vachier Lagrave, M","Aronian, L",0-1,2.11,"Dec 31, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Dubov, D","Radjabov, T",½-½,2.12,"Dec 31, 2020",E11 Bogo-Indian defence,,,,,,
"Aronian, L","Vachier Lagrave, M",½-½,2.12,"Dec 31, 2020","A48 King's Indian, East Indian defence",,,,,,
"Radjabov, T","Dubov, D",1-0,2.13,"Dec 31, 2020",D43 Queen's Gambit Declined semi-Slav,,,,,,
"Vachier Lagrave, M","Aronian, L",½-½,2.13,"Dec 31, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Dubov, D","Radjabov, T",0-1,2.14,"Dec 31, 2020",B32 Sicilian defence,,,,,,
"Aronian, L","Vachier Lagrave, M",1-0,2.14,"Dec 31, 2020",E60 King's Indian defence,,,,,,
"Dubov, D","Radjabov, T",0-1,2.21,"Jan 01, 2021","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Aronian, L","Vachier Lagrave, M",½-½,2.21,"Jan 01, 2021",D80 Gruenfeld defence,,,,,,
"Radjabov, T","Dubov, D",1-0,2.22,"Jan 01, 2021","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Vachier Lagrave, M","Aronian, L",½-½,2.22,"Jan 01, 2021","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Aronian, L","Vachier Lagrave, M",1-0,2.23,"Jan 01, 2021",D80 Gruenfeld defence,,,,,,
"Radjabov, T","Aronian, L",½-½,3.11,"Jan 02, 2021","D39 Queen's Gambit Declined, Ragozin, Vienna variation",,,,,,
"Vachier Lagrave, M","Dubov, D",0-1,3.11,"Jan 02, 2021",C55 Two knights defence,,,,,,
"Aronian, L","Radjabov, T",½-½,3.12,"Jan 02, 2021",B30 Sicilian defence,,,,,,
"Dubov, D","Vachier Lagrave, M",1-0,3.12,"Jan 02, 2021","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Radjabov, T","Aronian, L",½-½,3.13,"Jan 02, 2021","D39 Queen's Gambit Declined, Ragozin, Vienna variation",,,,,,
"Vachier Lagrave, M","Dubov, D",1-0,3.13,"Jan 02, 2021",C55 Two knights defence,,,,,,
"Aronian, L","Radjabov, T",0-1,3.14,"Jan 02, 2021","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Dubov, D","Vachier Lagrave, M",0-1,3.14,"Jan 02, 2021","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Aronian, L","Radjabov, T",½-½,3.21,"Jan 03, 2021",C53 Giuoco Piano,,,,,,
"Dubov, D","Vachier Lagrave, M",0-1,3.21,"Jan 03, 2021","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Radjabov, T","Aronian, L",1-0,3.22,"Jan 03, 2021",D80 Gruenfeld defence,,,,,,
"Vachier Lagrave, M","Dubov, D",½-½,3.22,"Jan 03, 2021",C55 Two knights defence,,,,,,
"Aronian, L","Radjabov, T",½-½,3.23,"Jan 03, 2021",C53 Giuoco Piano,,,,,,
"Dubov, D","Vachier Lagrave, M",1-0,3.23,"Jan 03, 2021","B52 Sicilian, Canal-Sokolsky attack, 3...Bd7",,,,,,
"Vachier Lagrave, M","Dubov, D",1-0,3.24,"Jan 03, 2021","C78 Ruy Lopez, 5.O-O",,,,,,
,,,,,,,,,"GM Donchenko, Alexander",2668.0,8.0
,,,,,,,,,"GM Janik, Igor",2480.0,7.0
,,,,,,,,,"GM Bartel, Mateusz",2638.0,6.5
,,,,,,,,,"GM Sadzikowski, Daniel",2528.0,6.0
,,,,,,,,,"GM Gumularz, Szymon",2516.0,6.0
,,,,,,,,,"IM Fus, Jakub",2401.0,6.0
,,,,,,,,,"IM Sieciechowicz, Marcin",2386.0,6.0
,,,,,,,,,"FM Mis, Mieszko",2358.0,6.0
,,,,,,,,,"FM Godzwon, Iwo",2347.0,6.0
,,,,,,,,,"GM Jarmula, Lukasz",2464.0,5.5
,,,,,,,,,"IM Brodowski, Piotr",2439.0,5.5
,,,,,,,,,"Kozak, Antoni",2375.0,5.5
,,,,,,,,,"IM Goluch, Piotr",2353.0,5.5
,,,,,,,,,"FM Kopylov, Daniel",2342.0,5.5
,,,,,,,,,"WIM Sliwicka, Alicja",2333.0,5.5
,,,,,,,,,"FM Kucza, Karol",2294.0,5.5
,,,,,,,,,"GM Nasuta, Grzegorz",2528.0,5.0
,,,,,,,,,"IM Szpar, Milosz",2446.0,5.0
,,,,,,,,,"IM Kopylov, Mihail",2400.0,5.0
,,,,,,,,,"IM Butkiewicz, Lukasz",2375.0,5.0
,,,,,,,,,Show full players list,,
"Butkiewicz, L","Malicka, M",½-½,4.1,"Dec 30, 2020","E36 Nimzo-Indian, classical, Noa variation, 5.a3",,,,,,
"Ustianovich, N","Ochedzan, T",1-0,4.11,"Dec 30, 2020",E60 King's Indian defence,,,,,,
"Redzisz, M","Sanz Wawer, D",0-1,4.12,"Dec 30, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Pasti, A","Szpar, M",½-½,4.13,"Dec 30, 2020",C11 French defence,,,,,,
"Fiedorek, M","Kopylov, M",½-½,4.14,"Dec 30, 2020","B42 Sicilian, Kan, 5.Bd3",,,,,,
"Klepek, W","Goluch, P",1-0,4.15,"Dec 30, 2020",B12 Caro-Kann defence,,,,,,
"Godzwon, I","Szustakowski, A",1-0,4.16,"Dec 30, 2020","C07 French, Tarrasch, open variation",,,,,,
"Sliwicka, A","Chmiel, M",1-0,4.17,"Dec 30, 2020","B18 Caro-Kann, classical variation",,,,,,
"Paszewski, M","Kokoszczynski, J",½-½,4.18,"Dec 30, 2020",A13 English opening,,,,,,
"Wisniewski, M","Kucza, K",0-1,4.19,"Dec 30, 2020",A09 Reti opening,,,,,,
"Sadzikowski, D","Skawinski, A",1-0,4.2,"Dec 30, 2020","C07 French, Tarrasch, open variation",,,,,,
"Chyzy, J","Vardanyan, A",0-1,4.2,"Dec 30, 2020","B94 Sicilian, Najdorf, 6.Bg5",,,,,,
"Suder, J","Konyves, A",1-0,4.21,"Dec 30, 2020","E24 Nimzo-Indian, Saemisch variation",,,,,,
"Kubicka, A","Golubka, P",0-1,4.22,"Dec 30, 2020",B06 Robatsch (modern) defence,,,,,,
"Kozak, A","Lisowski, K",1-0,4.23,"Dec 30, 2020",D05 Queen's pawn game,,,,,,
"Mis, M","Jankowiak, T",1-0,4.24,"Dec 30, 2020",A20 English opening,,,,,,
"Lorscheid, G","Kopylov, D",½-½,4.25,"Dec 30, 2020","D08 Queen's Gambit Declined, Albin counter-gambit",,,,,,
"Kucharska, H","Braeuning, R",½-½,4.26,"Dec 30, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Sernecki, F","Golecki, J",½-½,4.27,"Dec 30, 2020","A14 English, Neo-Catalan declined",,,,,,
"Kiolbasa, O","Popiol, M",1-0,4.28,"Dec 30, 2020","B38 Sicilian, accelerated fianchetto, Maroczy bind, 6.Be3",,,,,,
"Luberanski, J","Golda, S",1-0,4.29,"Dec 30, 2020","B90 Sicilian, Najdorf",,,,,,
"Gumularz, S","Fus, J",½-½,4.3,"Dec 30, 2020",C11 French defence,,,,,,
"Suliborski, J","Chylewski, P",½-½,4.3,"Dec 30, 2020",A45 Queen's pawn game,,,,,,
"Hasterok, M","Trybus, D",1-0,4.31,"Dec 30, 2020",E60 King's Indian defence,,,,,,
"Krzywda, A","Bablok, M",1-0,4.32,"Dec 30, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Salna, A","Jarzebowski, K",½-½,4.33,"Dec 30, 2020","A54 Old Indian, Ukrainian variation",,,,,,
"Brodowski, P","Niedbala, B",½-½,4.4,"Dec 30, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Seemann, J","Lewtak, D",1-0,4.5,"Dec 30, 2020","C10 French, Paulsen variation",,,,,,
"Baum, J","Nasuta, G",0-1,4.6,"Dec 30, 2020","E83 King's Indian, Saemisch, 6...Nc6",,,,,,
"Janik, I","Kyc, J",1-0,4.7,"Dec 30, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Deuer, M","Jarmula, L",½-½,4.8,"Dec 30, 2020",E11 Bogo-Indian defence,,,,,,
"Sieciechowicz, M","Wikar, M",1-0,4.9,"Dec 30, 2020",A81 Dutch defence,,,,,,
"Donchenko, A","Sadzikowski, D",½-½,5.1,"Dec 31, 2020","A26 English, closed system",,,,,,
"Kucza, K","Butkiewicz, L",1-0,5.1,"Dec 31, 2020","B34 Sicilian, accelerated fianchetto, exchange variation",,,,,,
"Malicka, M","Godzwon, I",1-0,5.11,"Dec 31, 2020","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Vardanyan, A","Sliwicka, A",1-0,5.12,"Dec 31, 2020",A58 Benko gambit accepted,,,,,,
"Golubka, P","Klepek, W",½-½,5.13,"Dec 31, 2020","C07 French, Tarrasch, open variation",,,,,,
"Szpar, M","Kiolbasa, O",½-½,5.14,"Dec 31, 2020",A13 English opening,,,,,,
"Kopylov, M","Pasti, A",1-0,5.15,"Dec 31, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Ochedzan, T","Kozak, A",½-½,5.16,"Dec 31, 2020",B06 Robatsch (modern) defence,,,,,,
"Redzisz, M","Mis, M",½-½,5.17,"Dec 31, 2020","E33 Nimzo-Indian, classical, 4...Nc6",,,,,,
"Kokoszczynski, J","Baum, J",1-0,5.18,"Dec 31, 2020",E11 Bogo-Indian defence,,,,,,
"Wikar, M","Paszewski, M",½-½,5.19,"Dec 31, 2020","B76 Sicilian, dragon, Yugoslav attack, 7...O-O",,,,,,
"Seemann, J","Bartel, M",½-½,5.2,"Dec 31, 2020","C95 Ruy Lopez, closed, Breyer, 10.d4",,,,,,
"Kyc, J","Fiedorek, M",½-½,5.2,"Dec 31, 2020","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Goluch, P","Lorscheid, G",1-0,5.21,"Dec 31, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Kopylov, D","Kucharska, H",1-0,5.22,"Dec 31, 2020","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Braeuning, R","Hasterok, M",1-0,5.23,"Dec 31, 2020",B30 Sicilian defence,,,,,,
"Konyves, A","Sernecki, F",1-0,5.24,"Dec 31, 2020",B10 Caro-Kann defence,,,,,,
"Golecki, J","Chyzy, J",0-1,5.25,"Dec 31, 2020",D30 Queen's gambit declined,,,,,,
"Szustakowski, A","Wisniewski, M",1-0,5.26,"Dec 31, 2020",A43 Old Benoni defence,,,,,,
"Chmiel, M","Luberanski, J",1-0,5.27,"Dec 31, 2020",A20 English opening,,,,,,
"Chylewski, P","Krzywda, A",1-0,5.28,"Dec 31, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Popiol, M","Kubicka, A",½-½,5.29,"Dec 31, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Nasuta, G","Sieciechowicz, M",½-½,5.3,"Dec 31, 2020","D90 Gruenfeld, Three knights variation",,,,,,
"Lisowski, K","Suliborski, J",0-1,5.3,"Dec 31, 2020",C23 Bishop's opening,,,,,,
"Jankowiak, T","Golda, S",1-0,5.31,"Dec 31, 2020","B87 Sicilian, Sozin with ...a6 and ...b5",,,,,,
"Bablok, M","Jarzebowski, K",0-1,5.32,"Dec 31, 2020",A51 Budapest defence declined,,,,,,
"Trybus, D","Salna, A",0-1,5.33,"Dec 31, 2020",B15 Caro-Kann defence,,,,,,
"Niedbala, B","Gumularz, S",½-½,5.4,"Dec 31, 2020","D40 Queen's Gambit Declined, Semi-Tarrasch defence",,,,,,
"Fus, J","Janik, I",½-½,5.5,"Dec 31, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Sanz Wawer, D","Brodowski, P",0-1,5.6,"Dec 31, 2020",B06 Robatsch (modern) defence,,,,,,
"Jarmula, L","Ustianovich, N",½-½,5.7,"Dec 31, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Lewtak, D","Deuer, M",1-0,5.8,"Dec 31, 2020","A35 English, symmetrical variation",,,,,,
"Skawinski, A","Suder, J",½-½,5.9,"Dec 31, 2020",B27 Sicilian defence,,,,,,
"Brodowski, P","Donchenko, A",0-1,6.1,"Jan 02, 2021",A45 Queen's pawn game,,,,,,
"Suder, J","Kopylov, M",0-1,6.1,"Jan 02, 2021","D87 Gruenfeld, exchange, Spassky variation",,,,,,
"Klepek, W","Skawinski, A",½-½,6.11,"Jan 02, 2021","C07 French, Tarrasch, open variation",,,,,,
"Butkiewicz, L","Kokoszczynski, J",½-½,6.12,"Jan 02, 2021",A45 Queen's pawn game,,,,,,
"Kiolbasa, O","Golubka, P",1-0,6.13,"Jan 02, 2021",B00 King's pawn opening,,,,,,
"Deuer, M","Szpar, M",½-½,6.14,"Jan 02, 2021",A21 English opening,,,,,,
"Kozak, A","Kyc, J",1-0,6.15,"Jan 02, 2021","A35 English, symmetrical variation",,,,,,
"Mis, M","Szustakowski, A",½-½,6.16,"Jan 02, 2021","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Chyzy, J","Goluch, P",½-½,6.17,"Jan 02, 2021",B01 Scandinavian (centre counter) defence,,,,,,
"Godzwon, I","Ochedzan, T",1-0,6.18,"Jan 02, 2021","B23 Sicilian, closed",,,,,,
"Fiedorek, M","Kopylov, D",0-1,6.19,"Jan 02, 2021","B65 Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defence, 9...Nxd4",,,,,,
"Sadzikowski, D","Seemann, J",½-½,6.2,"Jan 02, 2021","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Sliwicka, A","Redzisz, M",1-0,6.2,"Jan 02, 2021","B38 Sicilian, accelerated fianchetto, Maroczy bind, 6.Be3",,,,,,
"Konyves, A","Braeuning, R",1-0,6.21,"Jan 02, 2021",B10 Caro-Kann defence,,,,,,
"Paszewski, M","Chmiel, M",½-½,6.22,"Jan 02, 2021","B13 Caro-Kann, exchange variation",,,,,,
"Baum, J","Wikar, M",1-0,6.23,"Jan 02, 2021","A54 Old Indian, Ukrainian variation",,,,,,
"Pasti, A","Chylewski, P",0-1,6.24,"Jan 02, 2021","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
"Suliborski, J","Jankowiak, T",½-½,6.25,"Jan 02, 2021",D10 Queen's Gambit Declined Slav defence,,,,,,
"Sernecki, F","Wisniewski, M",1-0,6.26,"Jan 02, 2021",A40 Queen's pawn,,,,,,
"Kubicka, A","Luberanski, J",½-½,6.27,"Jan 02, 2021","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Lorscheid, G","Popiol, M",1-0,6.28,"Jan 02, 2021",A57 Benko gambit,,,,,,
"Kucharska, H","Hasterok, M",1-0,6.29,"Jan 02, 2021","E24 Nimzo-Indian, Saemisch variation",,,,,,
"Bartel, M","Nasuta, G",½-½,6.3,"Jan 02, 2021",C58 two knights defence,,,,,,
"Jarzebowski, K","Golecki, J",0-1,6.3,"Jan 02, 2021","E32 Nimzo-Indian, classical variation",,,,,,
"Golda, S","Salna, A",0-1,6.31,"Jan 02, 2021","C05 French, Tarrasch, closed variation",,,,,,
"Krzywda, A","Lisowski, K",½-½,6.32,"Jan 02, 2021",B10 Caro-Kann defence,,,,,,
"Trybus, D","Bablok, M",1-0,6.33,"Jan 02, 2021","B17 Caro-Kann, Steinitz variation",,,,,,
"Ustianovich, N","Gumularz, S",½-½,6.4,"Jan 02, 2021","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Janik, I","Niedbala, B",1-0,6.5,"Jan 02, 2021","B18 Caro-Kann, classical variation",,,,,,
"Kucza, K","Lewtak, D",1-0,6.6,"Jan 02, 2021","D86 Gruenfeld, exchange, classical variation",,,,,,
"Malicka, M","Fus, J",0-1,6.7,"Jan 02, 2021",C00 French defence,,,,,,
"Sieciechowicz, M","Vardanyan, A",1-0,6.8,"Jan 02, 2021","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Sanz Wawer, D","Jarmula, L",0-1,6.9,"Jan 02, 2021","E61 King's Indian defence, 3.Nc3",,,,,,
"Donchenko, A","Sieciechowicz, M",1-0,7.1,"Jan 02, 2021",A16 English opening,,,,,,
"Kokoszczynski, J","Kozak, A",½-½,7.1,"Jan 02, 2021","B13 Caro-Kann, exchange variation",,,,,,
"Niedbala, B","Malicka, M",½-½,7.11,"Jan 02, 2021","E51 Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5",,,,,,
"Kiolbasa, O","Godzwon, I",0-1,7.12,"Jan 02, 2021","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Kopylov, D","Konyves, A",1-0,7.13,"Jan 02, 2021","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Vardanyan, A","Mis, M",0-1,7.14,"Jan 02, 2021",A05 Reti opening,,,,,,
"Szpar, M","Paszewski, M",1-0,7.15,"Jan 02, 2021","B18 Caro-Kann, classical variation",,,,,,
"Deuer, M","Butkiewicz, L",0-1,7.16,"Jan 02, 2021",E10 Queen's pawn game,,,,,,
"Goluch, P","Suder, J",1-0,7.17,"Jan 02, 2021",A04 Reti opening,,,,,,
"Chylewski, P","Chyzy, J",½-½,7.18,"Jan 02, 2021",C70 Ruy Lopez,,,,,,
"Szustakowski, A","Sanz Wawer, D",1-0,7.19,"Jan 02, 2021",B10 Caro-Kann defence,,,,,,
"Fus, J","Bartel, M",0-1,7.2,"Jan 02, 2021","E15 Queen's Indian, 4.g3",,,,,,
"Chmiel, M","Baum, J",½-½,7.2,"Jan 02, 2021",A13 English opening,,,,,,
"Wikar, M","Golubka, P",½-½,7.21,"Jan 02, 2021",C50 King's pawn game,,,,,,
"Braeuning, R","Fiedorek, M",0-1,7.22,"Jan 02, 2021","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Kyc, J","Kucharska, H",1-0,7.23,"Jan 02, 2021","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Sernecki, F","Suliborski, J",½-½,7.24,"Jan 02, 2021","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Ochedzan, T","Golecki, J",1-0,7.25,"Jan 02, 2021","C76 Ruy Lopez, modern Steinitz defence, fianchetto (Bronstein) variation",,,,,,
"Jankowiak, T","Redzisz, M",½-½,7.26,"Jan 02, 2021",B12 Caro-Kann defence,,,,,,
"Salna, A","Lorscheid, G",½-½,7.27,"Jan 02, 2021","A54 Old Indian, Ukrainian variation",,,,,,
"Luberanski, J","Pasti, A",1-0,7.28,"Jan 02, 2021","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Lisowski, K","Kubicka, A",½-½,7.29,"Jan 02, 2021",B20 Sicilian defence,,,,,,
"Sadzikowski, D","Kucza, K",½-½,7.3,"Jan 02, 2021","C84 Ruy Lopez, closed defence",,,,,,
"Wisniewski, M","Jarzebowski, K",0-1,7.3,"Jan 02, 2021",C00 French defence,,,,,,
"Hasterok, M","Krzywda, A",½-½,7.31,"Jan 02, 2021","E83 King's Indian, Saemisch, 6...Nc6",,,,,,
"Popiol, M","Trybus, D",0-1,7.32,"Jan 02, 2021","B23 Sicilian, closed",,,,,,
"Bablok, M","Golda, S",½-½,7.33,"Jan 02, 2021","E90 King's Indian, 5.Nf3",,,,,,
"Seemann, J","Janik, I",0-1,7.4,"Jan 02, 2021","C78 Ruy Lopez, 5.O-O",,,,,,
"Nasuta, G","Ustianovich, N",½-½,7.5,"Jan 02, 2021","B36 Sicilian, accelerated fianchetto, Maroczy bind",,,,,,
"Gumularz, S","Brodowski, P",1-0,7.6,"Jan 02, 2021",B07 Pirc defence,,,,,,
"Kopylov, M","Jarmula, L",½-½,7.7,"Jan 02, 2021",E00 Queen's pawn game,,,,,,
"Lewtak, D","Klepek, W",½-½,7.8,"Jan 02, 2021",A46 Queen's pawn game,,,,,,
"Skawinski, A","Sliwicka, A",0-1,7.9,"Jan 02, 2021",C55 Two knights defence,,,,,,
"Kucza, K","Donchenko, A",0-1,8.1,"Jan 03, 2021","B94 Sicilian, Najdorf, 6.Bg5",,,,,,
"Brodowski, P","Malicka, M",½-½,8.1,"Jan 03, 2021",A00 Polish (Sokolsky) opening,,,,,,
"Niedbala, B","Lewtak, D",1-0,8.11,"Jan 03, 2021","D47 Queen's Gambit Declined semi-Slav, 7.Bc4",,,,,,
"Butkiewicz, L","Goluch, P",½-½,8.12,"Jan 03, 2021",A45 Queen's pawn game,,,,,,
"Kozak, A","Szustakowski, A",½-½,8.13,"Jan 03, 2021",A46 Queen's pawn game,,,,,,
"Mis, M","Kokoszczynski, J",1-0,8.14,"Jan 03, 2021","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Chyzy, J","Skawinski, A",1-0,8.15,"Jan 03, 2021",C11 French defence,,,,,,
"Fiedorek, M","Chylewski, P",½-½,8.16,"Jan 03, 2021",A56 Benoni defence,,,,,,
"Baum, J","Ochedzan, T",1-0,8.17,"Jan 03, 2021","E81 King's Indian, Saemisch, 5...O-O",,,,,,
"Konyves, A","Kyc, J",0-1,8.18,"Jan 03, 2021",A22 English opening,,,,,,
"Kiolbasa, O","Vardanyan, A",1-0,8.19,"Jan 03, 2021","B91 Sicilian, Najdorf, Zagreb (fianchetto) variation",,,,,,
"Bartel, M","Janik, I",½-½,8.2,"Jan 03, 2021",D02 Queen's pawn game,,,,,,
"Suder, J","Chmiel, M",1-0,8.2,"Jan 03, 2021",D10 Queen's Gambit Declined Slav defence,,,,,,
"Lorscheid, G","Golubka, P",0-1,8.21,"Jan 03, 2021","D32 Queen's Gambit Declined, Tarrasch defence",,,,,,
"Suliborski, J","Sanz Wawer, D",1-0,8.22,"Jan 03, 2021","A64 Benoni, fianchetto, 11...Re8",,,,,,
"Paszewski, M","Jankowiak, T",1-0,8.23,"Jan 03, 2021","A14 English, Neo-Catalan declined",,,,,,
"Luberanski, J","Sernecki, F",1-0,8.24,"Jan 03, 2021","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Salna, A","Deuer, M",1-0,8.25,"Jan 03, 2021","E32 Nimzo-Indian, classical variation",,,,,,
"Redzisz, M","Wikar, M",1-0,8.26,"Jan 03, 2021",B33 Sicilian defence,,,,,,
"Golecki, J","Braeuning, R",0-1,8.27,"Jan 03, 2021",E11 Bogo-Indian defence,,,,,,
"Jarzebowski, K","Kubicka, A",½-½,8.28,"Jan 03, 2021",B20 Sicilian defence,,,,,,
"Kucharska, H","Trybus, D",1-0,8.29,"Jan 03, 2021","E62 King's Indian, fianchetto variation",,,,,,
"Gumularz, S","Sadzikowski, D",1-0,8.3,"Jan 03, 2021","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Pasti, A","Krzywda, A",1-0,8.3,"Jan 03, 2021","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
